img_path,target
./classes/克/CVIMUc.png,83
./classes/思/rNZ8JQ.png,337
./classes/哲/9mtLKI.png,183
./classes/规/50BU7p.png,736
./classes/理/6Bj7vR.png,559
./classes/端/oYDs2N.png,627
./classes/生/5Ez9X3.png,563
./classes/矿/2JGSgV.png,596
./classes/耳/svn0pB.png,672
./classes/生/2Tymjx.png,563
./classes/铜/I3pXyR.png,835
./classes/师/ozOyrB.png,293
./classes/就/uZQB9L.png,272
./classes/它/gUh2sT.png,252
./classes/赛/am7PEw.png,783
./classes/想/C6xFm2.png,343
./classes/科/0tfdsr.png,611
./classes/是/9NpiCh.png,407
./classes/团/d5TD7u.png,193
./classes/是/9PIEf3.png,407
./classes/秀/b6ZuCx.png,609
./classes/麦/dq6KgU.png,895
./classes/公/BXjucy.png,87
./classes/铜/s8LYnC.png,835
./classes/音/9nCFTa.png,875
./classes/长/0EzGXO.png,848
./classes/得/ClRHx3.png,323
./classes/继/sJp7do.png,657
./classes/都/sALDCq.png,822
./classes/电/5InUbh.png,568
./classes/版/cZCaeX.png,544
./classes/湖/x6mDk5.png,522
./classes/重/3cCKxv.png,828
./classes/出/BYkHJA.png,102
./classes/范/naYzOR.png,703
./classes/草/gTLeKW.png,704
./classes/盘/CSWUzn.png,583
./classes/中/D6Qdfb.png,12
./classes/骨/WfVwMu.png,891
./classes/性/2vYBJq.png,338
./classes/秦/2w5U79.png,614
./classes/税/p8bKku.png,618
./classes/第/0Tl2DE.png,630
./classes/孙/DU57WZ.png,247
./classes/演/6dQ89b.png,529
./classes/细/7RtCS1.png,652
./classes/弦/1vqhUA.png,314
./classes/召/BrJ8zf.png,158
./classes/透/bYBAnG.png,811
./classes/务/CNZ4i3.png,123
./classes/业/adysgR.png,7
./classes/想/8jIxnS.png,343
./classes/球/BdIFGl.png,558
./classes/争/b8NXau.png,30
./classes/知/fJQ8Hx.png,593
./classes/托/uJeUnW.png,356
./classes/诞/r84Lue.png,762
./classes/找/2A6hyz.png,358
./classes/占/NLrmOy.png,140
./classes/逊/8lyLih.png,810
./classes/客/43O1kS.png,259
./classes/江/D5WH4a.png,482
./classes/里/39HTsq.png,827
./classes/人/bRyj6i.png,39
./classes/硬/4xwaU5.png,601
./classes/种/th37AU.png,610
./classes/暖/7MqL6k.png,412
